company_name,writer,tweet_total,comment_total,retweet_total,like_num,reaction_total
Amazon.com,unhedgedchatter,17,4.0,7.0,35.0,46.0
Amazon.com,dukesealman,16,0.0,4.0,10.0,14.0
Amazon.com,donutshorts,14,18.0,8.0,76.0,102.0
Amazon.com,boardtownblast,13,0.0,3.0,0.0,3.0
Amazon.com,davebudge,13,12.0,5.0,27.0,44.0
Amazon.com,passthebeano,13,14.0,4.0,57.0,75.0
Amazon.com,pluginfud,13,13.0,1.0,48.0,62.0
Amazon.com,bagholderquotes,12,20.0,10.0,262.0,292.0
Amazon.com,dapstats,12,4.0,6.0,11.0,21.0
Amazon.com,rottenal,11,4.0,2.0,20.0,26.0
Amazon.com,rtgt_guinness,11,2.0,1.0,5.0,8.0
Amazon.com,kamiari_,10,3.0,1.0,9.0,13.0
Amazon.com,mothercabrininy,10,3.0,1.0,15.0,19.0
Amazon.com,melaynalokosky,9,2.0,5.0,35.0,42.0
Amazon.com,contrarianshort,8,8.0,2.0,100.0,110.0
Amazon.com,faisamtrader,8,0.0,3.0,2.0,5.0
Amazon.com,jcoviedo6,8,7.0,16.0,119.0,142.0
Amazon.com,justtradin,8,9.0,2.0,20.0,31.0
Amazon.com,sbalatan,8,0.0,1.0,19.0,20.0
Amazon.com,talesftf,8,6.0,1.0,13.0,20.0
Amazon.com,orthereaboot,7,35.0,15.0,212.0,262.0
Amazon.com,stkbullgod,7,9.0,2.0,15.0,26.0
Amazon.com,teslacharts,7,33.0,44.0,508.0,585.0
Amazon.com,themicrx,7,0.0,1.0,3.0,4.0
Amazon.com,commuternyc,6,2.0,3.0,6.0,11.0
Amazon.com,paully_steaks,6,2.0,1.0,4.0,7.0
Amazon.com,tilmanwinkler,6,6.0,3.0,2.0,11.0
Amazon.com,upboptionmil,6,2.0,16.0,45.0,63.0
Amazon.com,biggie_calls,5,3.0,0.0,14.0,17.0
Amazon.com,bomsteinrick,5,4.0,0.0,5.0,9.0
Amazon.com,bradsferguson,5,6.0,2.0,8.0,16.0
Amazon.com,enertuition,5,1.0,3.0,16.0,20.0
Amazon.com,vincent13031925,5,15.0,25.0,311.0,351.0
Amazon.com,bradmunchen,4,3.0,1.0,38.0,42.0
Amazon.com,fraudguts,4,0.0,0.0,3.0,3.0
Amazon.com,g_schelle,4,2.0,0.0,9.0,11.0
Amazon.com,jackwildcat,4,3.0,0.0,5.0,8.0
Amazon.com,salt_nole,4,0.0,0.0,6.0,6.0
Amazon.com,shortingisfun,4,9.0,3.0,40.0,52.0
Amazon.com,steelnicho,4,1.0,0.0,7.0,8.0
Amazon.com,blane9171,3,1.0,4.0,16.0,21.0
Amazon.com,milestaylor47,3,1.0,1.0,4.0,6.0
Amazon.com,randyvegetables,3,7.0,8.0,73.0,88.0
Amazon.com,wheels88fortune,3,3.0,3.0,13.0,19.0
Amazon.com,brisance,2,1.0,2.0,4.0,7.0
Amazon.com,c4chaos,2,0.0,0.0,1.0,1.0
